"country_code","date","deaths"
"NLD","1.26.20",0
"NZL","1.26.20",0
"NIC","1.26.20",0
"NER","1.26.20",0
"NGA","1.26.20",0
"MKD","1.26.20",0
"NOR","1.26.20",0
"OMN","1.26.20",0
"PAK","1.26.20",0
"PAN","1.26.20",0
"PNG","1.26.20",0
"PRY","1.26.20",0
"PER","1.26.20",0
"PHL","1.26.20",0
"POL","1.26.20",0
"PRT","1.26.20",0
"QAT","1.26.20",0
"ROU","1.26.20",0
"RUS","1.26.20",0
"RWA","1.26.20",0
"KNA","1.26.20",0
"LCA","1.26.20",0
"VCT","1.26.20",0
"WSM","1.26.20",0
"SMR","1.26.20",0
"STP","1.26.20",0
"SAU","1.26.20",0
"SEN","1.26.20",0
"SRB","1.26.20",0
"SYC","1.26.20",0
"SLE","1.26.20",0
"SGP","1.26.20",0
"SVK","1.26.20",0
"SVN","1.26.20",0
"SLB","1.26.20",0
"SOM","1.26.20",0
"ZAF","1.26.20",0
"SSD","1.26.20",0
"ESP","1.26.20",0
"LKA","1.26.20",0
"SDN","1.26.20",0
"SUR","1.26.20",0
"SWE","1.26.20",0
"CHE","1.26.20",0
"SYR","1.26.20",0
"TWN","1.26.20",0
"TJK","1.26.20",0
"TZA","1.26.20",0
"THA","1.26.20",0
"TLS","1.26.20",0
"TGO","1.26.20",0
"TTO","1.26.20",0
"TUN","1.26.20",0
"TUR","1.26.20",0
"UGA","1.26.20",0
"UKR","1.26.20",0
"ARE","1.26.20",0
"GBR","1.26.20",0
"URY","1.26.20",0
"USA","1.26.20",0
"UZB","1.26.20",0
"VUT","1.26.20",0
"VEN","1.26.20",0
"VNM","1.26.20",0
"YEM","1.26.20",0
"ZMB","1.26.20",0
"ZWE","1.26.20",0
"AFG","1.27.20",0
"ALB","1.27.20",0
"DZA","1.27.20",0
"AND","1.27.20",0
"AGO","1.27.20",0
"ATG","1.27.20",0
"ARG","1.27.20",0
"ARM","1.27.20",0
"AUS","1.27.20",0
"AUT","1.27.20",0
"AZE","1.27.20",0
"BHS","1.27.20",0
"BHR","1.27.20",0
"BGD","1.27.20",0
"BRB","1.27.20",0
"BLR","1.27.20",0
"BEL","1.27.20",0
"BLZ","1.27.20",0
"BEN","1.27.20",0
"BTN","1.27.20",0
"BOL","1.27.20",0
"BIH","1.27.20",0
"BWA","1.27.20",0
"BRA","1.27.20",0
"BRN","1.27.20",0
"BGR","1.27.20",0
"BFA","1.27.20",0
"MMR","1.27.20",0
"BDI","1.27.20",0
"CPV","1.27.20",0
"KHM","1.27.20",0
"CMR","1.27.20",0
"CAN","1.27.20",0
"CAF","1.27.20",0
"TCD","1.27.20",0
"CHL","1.27.20",0
"CHN","1.27.20",82
"COL","1.27.20",0
"COM","1.27.20",0
"COG","1.27.20",0
"COD","1.27.20",0
"CRI","1.27.20",0
"CIV","1.27.20",0
"HRV","1.27.20",0
"CUB","1.27.20",0
"CYP","1.27.20",0
"CZE","1.27.20",0
"DNK","1.27.20",0
"DJI","1.27.20",0
"DMA","1.27.20",0
"DOM","1.27.20",0
"ECU","1.27.20",0
"EGY","1.27.20",0
"SLV","1.27.20",0
"GNQ","1.27.20",0
"ERI","1.27.20",0
"EST","1.27.20",0
"SWZ","1.27.20",0
"ETH","1.27.20",0
"FJI","1.27.20",0
"FIN","1.27.20",0
"FRA","1.27.20",0
"GAB","1.27.20",0
"GMB","1.27.20",0
"GEO","1.27.20",0
"DEU","1.27.20",0
"GHA","1.27.20",0
"GRC","1.27.20",0
"GRD","1.27.20",0
"GTM","1.27.20",0
"GIN","1.27.20",0
"GNB","1.27.20",0
"GUY","1.27.20",0
"HTI","1.27.20",0
"VAT","1.27.20",0
"HND","1.27.20",0
"HUN","1.27.20",0
"ISL","1.27.20",0
"IND","1.27.20",0
"IDN","1.27.20",0
"IRN","1.27.20",0
"IRQ","1.27.20",0
"IRL","1.27.20",0
"ISR","1.27.20",0
"ITA","1.27.20",0
"JAM","1.27.20",0
"JPN","1.27.20",0
"JOR","1.27.20",0
"KAZ","1.27.20",0
"KEN","1.27.20",0
"KOR","1.27.20",0
"KWT","1.27.20",0
"KGZ","1.27.20",0
"LAO","1.27.20",0
"LVA","1.27.20",0
"LBN","1.27.20",0
"LSO","1.27.20",0
"LBR","1.27.20",0
"LBY","1.27.20",0
"LIE","1.27.20",0
"LTU","1.27.20",0
"LUX","1.27.20",0
"MDG","1.27.20",0
"MWI","1.27.20",0
"MYS","1.27.20",0
"MDV","1.27.20",0
"MLI","1.27.20",0
"MLT","1.27.20",0
"MHL","1.27.20",0
"MRT","1.27.20",0
"MUS","1.27.20",0
"MEX","1.27.20",0
"FSM","1.27.20",0
"MDA","1.27.20",0
"MCO","1.27.20",0
"MNG","1.27.20",0
"MNE","1.27.20",0
"MAR","1.27.20",0
"MOZ","1.27.20",0
"NAM","1.27.20",0
"NPL","1.27.20",0
"NLD","1.27.20",0
"NZL","1.27.20",0
"NIC","1.27.20",0
"NER","1.27.20",0
"NGA","1.27.20",0
"MKD","1.27.20",0
"NOR","1.27.20",0
"OMN","1.27.20",0
"PAK","1.27.20",0
"PAN","1.27.20",0
"PNG","1.27.20",0
"PRY","1.27.20",0
"PER","1.27.20",0
